ticker,sector,full_date,open,high,low,close,volume,daily_return,sma_20,sma_50,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,bb_upper,bb_lower,volatility_20d
AAPL,Technology,2019-01-01,40.15,40.6,40.02,40.3,89367424,,,,,40.3,40.3,,0.0,0.0,,,
AAPL,Technology,2019-01-02,40.76,41.03,40.4,40.97,62558437,0.0166253101736972,,,,40.40307692307692,40.349629629629625,,0.0534472934472916,0.0106894586894583,,,
AAPL,Technology,2019-01-03,41.76,42.03,41.19,41.27,61901255,0.0073224310471078,,,,40.53644970414201,40.41780521262002,,0.1186444915219908,0.0322804652559648,,,
AAPL,Technology,2019-01-04,40.2,40.4,39.98,40.3,2715919,-0.0235037557547856,,,,40.5000728265817,40.409078900574094,,0.0909939260076058,0.044023157406293,,,
AAPL,Technology,2019-01-07,41.55,41.72,40.7,41.04,25070839,0.018362282878412,,,,40.583138545569135,40.45581379682786,,0.1273247487412732,0.060683475673289,,,
AAPL,Technology,2019-01-08,41.5,41.58,41.06,41.42,76445288,0.0092592592592593,,,,40.71188646163542,40.527234997062834,,0.1846514645725889,0.085477073453149,,,
AAPL,Technology,2019-01-09,41.04,41.46,40.76,41.04,14788863,-0.0091743119266055,,,,40.76236546753767,40.565217589872994,,0.1971478776646762,0.1078112342954544,,,
AAPL,Technology,2019-01-10,40.97,41.72,40.91,41.54,19092265,0.0121832358674462,,,,40.88200154945495,40.63742369432685,,0.2445778551280995,0.1351645584619835,,,
AAPL,Technology,2019-01-11,42.35,42.74,41.71,41.86,23736312,0.0077034183919113,,,,41.0324628495388,40.72798490215449,,0.3044779473843135,0.1690272362464495,,,
AAPL,Technology,2019-01-14,42.36,42.57,41.93,42.14,73994308,0.0066889632107023,,,,41.20285318037899,40.83257861310601,,0.370274567272979,0.2092767024517554,,,
AAPL,Technology,2019-01-15,42.37,42.53,42.17,42.2,29486199,0.0014238253440912,,,,41.3562603833976,40.93386908620927,,0.4223912971883337,0.251899621399071,,,
AAPL,Technology,2019-01-16,42.64,42.87,42.54,42.68,80602894,0.0113744075829382,,,,41.559912632105664,41.063212116860434,,0.4967005152452302,0.3008598001683029,,,
AAPL,Technology,2019-01-17,41.97,42.19,41.64,42.13,77456393,-0.0128865979381442,,,,41.647618381012485,41.14223344153744,,0.5053849394750429,0.3417648280296509,,,
AAPL,Technology,2019-01-18,41.54,42.18,41.46,42.04,79914468,-0.0021362449560883,,,,41.70798478393365,41.20873466809022,,0.4992501158434237,0.3732618855924055,,,
AAPL,Technology,2019-01-21,42.08,42.42,41.55,41.7,54433896,-0.0080875356803044,,,,41.706756355636166,41.245124692676136,61.55115511551157,0.4616316629600305,0.3909358410659305,,,
AAPL,Technology,2019-01-22,42.33,42.61,42.16,42.21,62358905,0.0122302158273381,,,,41.78417845476907,41.316596937663085,60.508474576271176,0.4675815171059838,0.4062649762739412,,,
AAPL,Technology,2019-01-23,42.15,42.54,41.62,42.28,44415322,0.0016583747927032,,,,41.860458692496906,41.38796012746582,58.90652557319221,0.4724985650310884,0.4195116940253706,,,
AAPL,Technology,2019-01-24,41.85,42.4,41.79,42.09,63577803,-0.0044938505203405,,,,41.89577273980507,41.439963080986864,68.30265848670763,0.4558096588182039,0.4267712869839373,,,
AAPL,Technology,2019-01-25,41.57,42.0,41.43,41.51,17685686,-0.0137799952482776,,,,41.836423087527365,41.44515100091376,54.96828752642704,0.3912720866136041,0.4196714469098707,,,
AAPL,Technology,2019-01-28,41.32,41.36,41.12,41.35,89615416,-0.0038544928932786,41.6035,,,41.761588766369314,41.43810277862385,49.22394678492239,0.3234859877454639,0.4004343550769894,42.90645655701704,40.30054344298297,
AAPL,Technology,2019-01-29,42.05,42.32,40.93,41.4,31491390,0.0012091898428052,41.6585,,,41.70595972538942,41.43528035057764,54.30622009569378,0.2706793748117775,0.3744833590239471,42.81434145698457,40.50265854301544,0.0111181685891777
AAPL,Technology,2019-01-30,41.53,41.66,40.84,41.22,4527033,-0.0043478260869564,41.67100000000001,,,41.63119669071413,41.41933365794226,45.85492227979274,0.2118630327718662,0.3419592937735309,42.80059983599224,40.541400164007776,0.0105833880095521
AAPL,Technology,2019-01-31,42.05,42.31,41.94,42.28,54612509,0.0257156720038815,41.721500000000006,,,41.73101258445041,41.483086720316905,54.56521739130437,0.2479258641335064,0.323152607845526,42.86582742829922,40.57717257170079,0.0119335069274763
AAPL,Technology,2019-02-01,42.69,43.24,42.61,43.13,76242692,0.0201040681173132,41.863,,,41.94624141761189,41.605080296589726,59.57446808510642,0.3411611210221608,0.3267543104808529,42.96637472758518,40.759625272414816,0.0111237896410983
AAPL,Technology,2019-02-04,40.94,41.35,40.38,41.02,50419156,-0.0489218641316948,41.862,,,41.80374273797929,41.56174101536085,41.82825484764542,0.2420017226184398,0.3098037929083703,42.96854702375881,40.7554529762412,0.0156375669160883
AAPL,Technology,2019-02-05,39.29,40.24,39.08,39.62,56437852,-0.0341296928327646,41.772000000000006,,,41.46778231675171,41.41790834755634,31.20393120393119,0.0498739691953673,0.2578178281657697,43.257744187090665,40.28625581290935,0.0172279044517443
AAPL,Technology,2019-02-06,39.56,39.62,39.52,39.53,87515070,-0.0022715800100958,41.6965,,,41.16966196032837,41.27806328477439,33.07291666666666,-0.1084013244460209,0.1845739976434116,43.46535660363144,39.927643396368566,0.0171471705458533
AAPL,Technology,2019-02-07,39.41,39.56,39.0,39.25,85625706,-0.0070832279281558,41.582,,,40.87432935104708,41.1278363747911,32.27445997458703,-0.2535070237440209,0.0969577933659251,43.6625222016549,39.5014777983451,0.0168631761802741
AAPL,Technology,2019-02-08,39.69,39.87,39.33,39.45,25571455,0.0050955414012738,41.4615,,,40.6552017585783,41.003552198880655,35.446313065976724,-0.3483504403023545,0.0078961466322691,43.74362527909265,39.17937472090736,0.0167884622928164
AAPL,Technology,2019-02-11,39.81,39.85,39.62,39.65,82571156,0.0050697084917616,41.337,,,40.50055533418164,40.90328907303764,32.749326145552544,-0.4027337388559999,-0.0742298304653846,43.73215387924517,38.94184612075484,0.0167440136577189
AAPL,Technology,2019-02-12,41.24,42.02,40.87,41.3,56258082,0.0416141235813367,41.292,,,40.62354682123062,40.93267506762744,44.55555555555553,-0.3091282463968241,-0.1212095136516725,43.65245133953567,38.93154866046432,0.0194792417876773
AAPL,Technology,2019-02-13,40.72,41.12,40.39,40.48,9970904,-0.0198547215496368,41.182,,,40.601462694887445,40.89914358113652,41.640706126687405,-0.2976808862490756,-0.1565037881711531,43.47416147130309,38.88983852869692,0.0196943468108772
